Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
Meteor,GEN,https://www.vlr.gg/player/13039/meteor,Pacific,184498,all,,0.91,212.0,37,43,14,0.86,75%,140.0,20%,11.0,9.0,bo3
TS,GEN,https://www.vlr.gg/player/983/ts,Pacific,184498,all,,0.85,178.0,32,42,23,0.76,65%,112.0,18%,5.0,4.0,bo3
eKo,GEN,https://www.vlr.gg/player/1960/eko,Pacific,184498,all,,0.71,135.0,18,26,13,0.69,76%,87.0,22%,2.0,4.0,bo3
Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,Pacific,184499,all,,1.73,336.0,51,25,7,2.04,80%,206.0,30%,13.0,8.0,bo3
Munchkin,T1,https://www.vlr.gg/player/2489/munchkin,Pacific,184499,all,,0.88,149.0,25,26,3,0.96,67%,103.0,27%,3.0,4.0,bo3
carpe,T1,https://www.vlr.gg/player/31207/carpe,Pacific,184499,all,,0.82,156.0,24,31,18,0.77,67%,106.0,14%,2.0,3.0,bo3
xeta,T1,https://www.vlr.gg/player/474/xeta,Pacific,184499,all,,0.78,152.0,21,32,15,0.66,71%,99.0,16%,2.0,7.0,bo3
ban,T1,https://www.vlr.gg/player/5129/ban,Pacific,184499,all,,0.7,155.0,26,32,8,0.81,73%,98.0,14%,2.0,1.0,bo3
Rb,KRX,https://www.vlr.gg/player/488/rb,Pacific,184499,all,,1.18,181.0,29,25,24,1.16,76%,121.0,25%,3.0,1.0,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,184499,all,,1.15,211.0,31,26,17,1.19,76%,146.0,29%,4.0,4.0,bo3
stax,KRX,https://www.vlr.gg/player/485/stax,Pacific,184499,all,,0.98,176.0,29,29,17,1.0,64%,107.0,27%,3.0,0.0,bo3
BuZz,KRX,https://www.vlr.gg/player/804/buzz,Pacific,184499,all,,0.95,202.0,29,32,11,0.91,67%,132.0,20%,2.0,5.0,bo3
Foxy9,KRX,https://www.vlr.gg/player/11600/foxy9,Pacific,184499,all,,0.71,178.0,28,35,1,0.8,67%,109.0,30%,11.0,12.0,bo3
