Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
aspas,LOUD,https://www.vlr.gg/player/8480/aspas,Americas,167360,all,,1.21,260.0,70,55,12,1.27,73%,161.0,27%,18.0,9.0,bo3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,167360,all,,1.16,213.0,60,50,35,1.2,73%,134.0,27%,1.0,1.0,bo3
Less,LOUD,https://www.vlr.gg/player/8447/less,EMEA,167360,all,,1.13,211.0,62,50,15,1.24,76%,146.0,25%,7.0,8.0,bo3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,167360,all,,1.11,211.0,56,53,33,1.06,77%,142.0,22%,3.0,6.0,bo3
saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,EMEA,167360,all,,0.78,197.0,45,62,22,0.73,69%,130.0,17%,7.0,18.0,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,167361,all,,1.37,264.0,56,39,36,1.44,77%,177.0,24%,10.0,4.0,bo3
Zest,KRX,https://www.vlr.gg/player/772/zest,Pacific,167361,all,,1.14,216.0,49,43,19,1.14,80%,135.0,31%,2.0,7.0,bo3
BuZz,KRX,https://www.vlr.gg/player/804/buzz,Pacific,167361,all,,1.08,223.0,52,42,11,1.24,74%,138.0,17%,7.0,12.0,bo3
Rb,KRX,https://www.vlr.gg/player/488/rb,CN,167361,all,,1.04,193.0,45,40,23,1.12,74%,120.0,28%,6.0,5.0,bo3
stax,KRX,https://www.vlr.gg/player/485/stax,Pacific,167361,all,,0.84,164.0,37,47,29,0.79,77%,105.0,25%,4.0,8.0,bo3
